Specimen ID,Sex,Family name,Latin Name,County,year collected,Population designation,neurocranium length,neurocranium height,neurocranium width,mmcranialvolume,cranialvolume,total body length,bodylength,relativecc,tail length,hindfoot length
11630,M,VESPERTILIONIDAE,EPTESICUS FUSCUS,HENNEPIN,1972,1,10.19,5.52,9.07,510.176616,0.510176616,145,14.5,0.035184594,40,12
11631,M,VESPERTILIONIDAE,EPTESICUS FUSCUS,HENNEPIN,1972,1,9.92,5.5,8.85,482.856,0.482856,118,11.8,0.04092,47,12
16694,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,PINE,1986,0,10.57,5.82,9.26,569.651124,0.569651124,116,11.6,0.049107856,40,12
18383,UNKNOWN,VESPERTILIONIDAE,EPTESICUS FUSCUS,RAMSEY,1937,1,10.34,5.79,8.78,525.646308,0.525646308,111,11.1,0.047355523,45,13
19026,M,VESPERTILIONIDAE,EPTESICUS FUSCUS,RAMSEY,1995,1,10.07,5.73,8.39,484.112229,0.484112229,105,10.5,0.046105927,45,12
146,F,GEOMYIDAE,GEOMYS BURSARIUS,SHERBURNE,1916,0,20.82,13.03,15.51,4207.624146,4.207624146,225,22.5,0.187005518,64,30
147,M,GEOMYIDAE,GEOMYS BURSARIUS,SHERBURNE,1916,0,20.53,13.69,15.2,4272.04664,4.27204664,228,22.8,0.187370467,72,31
148,M,GEOMYIDAE,GEOMYS BURSARIUS,SHERBURNE,1919,0,23.7,16.48,16.83,6573.39408,6.57339408,290,29,0.226668761,78,33
734,UNKNOWN,GEOMYIDAE,GEOMYS BURSARIUS,KITTSON,1929,0,24.7,17,17.95,7537.205,7.537205,305,30.5,0.247121475,81,39
1136,UNKNOWN,GEOMYIDAE,GEOMYS BURSARIUS,HENNEPIN,1935,1,22.98,14.42,16.08,5328.455328,5.328455328,276.9,27.69,0.192432478,76.2,35.6
1184,UNKNOWN,GEOMYIDAE,GEOMYS BURSARIUS,HENNEPIN,1936,1,20.79,13.12,14.91,4066.923168,4.066923168,210.8,21.08,0.192928044,69.9,31.75
1808,M,GEOMYIDAE,GEOMYS BURSARIUS,RAMSEY,1938,1,22.15,15.04,16.19,5393.47184,5.39347184,263,26.3,0.205074975,71,31.5
1892,F,GEOMYIDAE,GEOMYS BURSARIUS,RAMSEY,1942,1,21.43,13.78,15.67,4627.435618,4.627435618,190,19,0.243549243,74,34
2439,F,GEOMYIDAE,GEOMYS BURSARIUS,TRAVERSE,1947,0,22.54,15.28,15.78,5434.808736,5.434808736,260,26,0.209031105,85,34
2441,F,GEOMYIDAE,GEOMYS BURSARIUS,POLK,1947,0,22.35,15.08,15.88,5352.16344,5.35216344,280,28,0.191148694,92,35
3325,F,GEOMYIDAE,GEOMYS BURSARIUS,ANOKA,1952,1,20.79,13.79,16.12,4621.508892,4.621508892,261,26.1,0.177069306,77,36
4192,F,GEOMYIDAE,GEOMYS BURSARIUS,GOODHUE,1957,0,20.81,13.43,15.68,4382.219744,4.382219744,227,22.7,0.193049328,64,33
5110,M,GEOMYIDAE,GEOMYS BURSARIUS,RAMSEY,1958,1,22.59,14.36,16.6,5384.91384,5.38491384,269,26.9,0.200182671,66,33
5112,M,GEOMYIDAE,GEOMYS BURSARIUS,CLEARWATER,1959,0,19,11.63,14.42,3186.3874,3.1863874,200,20,0.15931937,50,28
5556,F,GEOMYIDAE,GEOMYS BURSARIUS,HENNEPIN,1958,1,23.53,14.15,16.14,5373.80493,5.37380493,268,26.8,0.200515109,85,35
6066,M,GEOMYIDAE,GEOMYS BURSARIUS,MORRISON,1961,0,22.78,15.4,16.61,5826.98732,5.82698732,291,29.1,0.200240114,70,36
7288,M,GEOMYIDAE,GEOMYS BURSARIUS,RAMSEY,1961,1,23.85,16.09,17.61,6757.775865,6.757775865,282,28.2,0.239637442,77,34
7306,F,GEOMYIDAE,GEOMYS BURSARIUS,RAMSEY,1961,1,22.68,14.58,15.76,5211.428544,5.211428544,268,26.8,0.194456289,73,34
7308,F,GEOMYIDAE,GEOMYS BURSARIUS,RAMSEY,1961,1,23.16,14.7,15.9,5413.1868,5.4131868,249,24.9,0.21739706,72,33
7313,M,GEOMYIDAE,GEOMYS BURSARIUS,RAMSEY,1961,1,23.72,15.07,16.26,5812.306104,5.812306104,279,27.9,0.208326384,64,34
